16	0	0	0	499
8	0	0	0	499
12	0	0	0	499
14	0	0	0	499
16	0	0	0	499
14	0	0	1	499
11	0	0	1	499
19	0	0	1	499
10	0	0	1	499
8	0	0	1	499
16	0	1	0	508
21	0	1	0	508
17	0	1	0	508
20	0	1	0	508
17	0	1	0	508
19	0	1	1	508
15	0	1	1	508
20	0	1	1	508
15	0	2	0	514
19	0	2	0	514
15	0	2	0	514
15	0	2	0	514
20	0	2	1	514
19	0	2	1	514
16	0	2	1	514
16	0	2	1	514
18	0	2	1	514
18	1	4	0	528
17	4	4	0	528
19	1	4	0	528
17	1	4	0	528
18	0	4	0	528
19	0	5	0	534
18	1	5	0	534
16	3	5	0	534
14	6	5	0	534
18	0	5	0	534
20	0	5	1	534
4	16	5	1	534
11	9	5	1	534
16	4	5	1	534
17	3	5	1	534
5	15	6	0	542
4	14	6	0	542
11	9	6	0	542
10	8	6	0	542
20	0	6	0	542
7	9	6	1	542
17	0	6	1	542
18	0	6	1	542
19	0	6	1	542
20	0	7	0	548
20	0	7	0	548
20	0	7	0	548
19	0	7	0	548
20	0	7	1	548
20	0	7	1	548
20	0	7	1	548
20	0	8	0	555
17	0	8	0	555
18	1	8	0	555
20	0	8	0	555
20	0	8	0	555
15	4	8	1	555
20	0	8	1	555
17	2	8	1	555
20	0	8	1	555
20	0	9	0	562
20	0	9	0	562
17	0	9	0	562
19	0	9	0	562
17	0	9	0	562
19	0	9	1	562
18	0	9	1	562
20	0	9	1	562
19	0	9	1	562
20	0	9	1	562
