18	0	0	0	498
19	0	0	0	498
21	0	0	0	498
21	0	0	0	498
19	0	0	1	498
19	0	0	1	498
18	0	0	1	498
18	0	0	1	498
12	0	1	0	507
15	0	1	0	507
17	0	1	0	507
18	0	1	0	507
18	0	1	0	507
16	0	1	1	507
17	0	1	1	507
17	0	1	1	507
18	0	1	1	507
18	0	1	1	507
19	0	2	0	513
16	0	2	0	513
20	0	2	0	513
20	0	2	0	513
20	0	2	0	513
17	0	3	0	519
20	0	3	0	519
13	0	3	0	519
17	0	3	0	519
16	0	3	0	519
16	0	3	1	519
16	0	3	1	519
19	0	3	1	519
15	0	3	1	519
16	0	3	1	519
20	0	4	0	527
17	0	4	0	527
18	1	4	0	527
19	0	4	0	527
20	6	4	0	527
16	3	5	0	533
19	1	5	0	533
18	2	5	0	533
15	3	5	0	533
16	3	5	0	533
16	3	5	1	533
16	3	5	1	533
16	2	5	1	533
18	2	5	1	533
10	10	5	1	533
13	7	6	0	541
15	4	6	0	541
13	5	6	0	541
7	8	6	0	541
5	13	6	0	541
10	10	6	1	541
9	10	6	1	541
18	2	6	1	541
6	13	6	1	541
3	17	6	1	541
12	8	7	0	547
15	3	7	0	547
19	1	7	0	547
17	3	7	0	547
4	16	7	0	547
4	16	7	1	547
14	5	7	1	547
9	11	7	1	547
2	18	7	1	547
4	16	7	1	547
11	8	8	0	554
2	17	8	0	554
2	17	8	0	554
7	13	8	0	554
2	18	8	0	554
2	18	8	1	554
6	14	8	1	554
7	13	8	1	554
0	21	8	1	554
5	15	8	1	554
18	0	9	0	561
18	0	9	0	561
17	1	9	0	561
20	0	9	0	561
20	0	9	0	561
19	0	9	1	561
19	0	9	1	561
19	1	9	1	561
20	0	9	1	561
20	0	9	1	561
20	0	10	0	569
19	0	10	0	569
18	0	10	0	569
18	0	10	0	569
19	0	10	1	569
20	0	10	1	569
20	0	10	1	569
18	0	10	1	569
